Jawa Barat (default),Jawa Tengah (jateng),Jawa Timur (jatim),Sumatera (sumatera),Bali (bali),Kalimantan (kalimantan),Sulawesi (sulawesi)
BDG,Boyolali,BKL,ACH,Beach_BALI_01,BJM,Barru
CBN,Cilacap,Blitar,BKH,DPS,BLP,Silopo
JKT_v2,Kebumen,Bukit_Jaddih,BKT,GMK,Forest_KLT_01,Hill_SLW_01
Lingkar_Nagreg_v2,Kendal,BWI,Japura_v2,Kota_BALI_01,Pakotkuara,Rantepao
Majenang,Klaten,Gresik,JMB,,,MKS
MRK,Kudus,Jember,kota_SMT_01,,,MMJ
Palimanan_v2,Magelang,Lumajang,kota_SMT_02,,,Pinrang
Pasuruan,Margasari,Madiun,kota_SMT_03,,,PLP
Purwakarta,Muntilan,MLG,lake_01,,,PLU
Serang,Pekalongan,Mojokerto,Lake_02,,,PRP
Sumedang_v2,Purworejo,Pacitan,Langsa,,,PosoLake
Tasikmalaya,PWK,Pasuruan,Lhokseumawe,,,Poso
Tol_Cikampek,Rembang,Ponorogo,LPG,,,Tol_IrSutami
Tol_Merak,Salatiga,Probolinggo,MDN,,,
,Sluke,SBY,Pematangsiantar,,,
Tol_Jawa_02,SMG,Situbondo,PBR,,,
Beach_02,SOC,SuramaduBridge_v2,PDG,,,
Desa_03,Sragen,Tol_Malang,PLB,,,
Desa_04,Sukoharjo,Trenggalek,Rengat,,,
Hutan_03,Tegal,Tuban,Sibolga,,,
Hutan_04,Temanggung,Tulungagung,sitinjaulauik_v2,,,
,WNG,,Tol_SMT_01,,,
,Wonosobo,,village_smt_01,,,
,YGY,,village_smt_02,,,
Racing_Extreme_01,,,kelok9,,,
Racing_Mandala,,,,,,
,,,,,,
,,,,,,
,,,,,,
KebunRayaBogor,Borobudur,Bromo,DanauToba,GarudaWisnuKencana,,
Tangkuban_Parahu,Dieng,BukitJaddih,IstanoBasa,Jatiluwih,,
,TebingBreksi,WisataBatu,,Pantai_Kuta,,
,,,,Pantai_Pandawa,,
,,,,PuraUlunDanuBeratan,,
,,,,Tanahlot,,
,,,,Uluwatu,,
